experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,response_bbox_center_x,response_bbox_center_y,response_bbox_center_z,tar_error_bbox,tar_error_bbox_x,tar_error_bbox_y,tar_error_bbox_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Kitchen_cube,13,4,21,1,21,420.8471,439.728,10,K01,K01_L19,cube,0,0,0,270,Kettle,425.6004,272.1921,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,426.1114,429.4989,431.5095,438.7064,-1.804911,0.890655,-1.194711,0.187247,359.9771,5.16752,0.014015,0.010617,0.006234,-0.006697,-1.809414,0.940451,-1.19455,0.083773,0.027526,-0.075044,-0.025073,51.46251,-359.2552,308.7752,-354.7574,-0.797304,1.439606,-0.85651,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T021.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T021.csv
Pilot_Kitchen_cube,13,4,22,1,22,440.7387,457.3653,5,K01,K01_L04,cube,0,0,0,0,Breadbasket,444.4261,0.358879,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,444.9369,446.7587,448.769,456.3435,-1.150051,0.891417,1.235192,2.358258,356.7568,359.4785,0.078326,-0.063,0.00762,0.045912,-1.149714,0.941372,1.237271,0.07702,-0.06073,-0.008947,0.046517,70.91933,1.755218,289.0723,357.9233,-0.326625,1.440679,0.090158,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T022.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T022.csv
Pilot_Kitchen_cube,13,4,23,1,23,458.3759,471.3928,4,K01,K01_L09,cube,0,0,0,90,Plate,461.3082,88.5832,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,461.819,462.8076,464.8178,470.3719,1.345177,0.880638,0.438078,359.5677,358.8787,3.488069,0.009815,-0.001772,-0.003173,-0.009118,1.342143,0.930544,0.437642,0.056742,-0.03458,0.033899,-0.029576,177.0759,358.4178,182.9339,1.47368,0.687917,1.43271,0.262035,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T023.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T023.csv
Pilot_Kitchen_cube,13,4,24,1,24,472.4036,486.5424,3,K01,K01_L16,cube,0,0,0,90,Flowers,474.1029,92.18587,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,474.6138,475.6023,477.6126,485.5205,1.072778,0.897783,0.850797,357.853,357.5352,354.8487,0.034217,0.002829,0.029786,0.016601,1.077344,0.947546,0.849126,0.14285,0.004958,-0.142165,0.013063,113.5062,357.3905,246.6128,-3.863342,0.170877,1.483503,-0.014733,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T024.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T024.csv
Pilot_Kitchen_cube,13,4,25,1,25,487.5533,505.9122,7,K01,K01_L15,cube,0,0,0,270,Water Bottle,492.7397,274.7896,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,493.2508,494.3725,496.3827,504.8903,-1.420498,0.895018,-1.168136,359.968,359.5222,1.733242,0.070746,-0.028447,0.011921,0.063669,-1.42201,0.944995,-1.168176,0.076909,-0.021165,-0.039474,0.062521,160.3123,359.4515,160.3179,-356.8,-0.731903,1.437472,-0.889816,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T025.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T025.csv
Pilot_Kitchen_cube,13,4,26,1,26,506.9229,522.3611,5,K01,K01_L04,cube,0,0,0,0,Breadbasket,511.0768,0.551496,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,511.5876,512.9316,514.9419,521.3392,-1.127645,0.886862,1.198436,2.241782,358.1464,359.5511,0.041726,-0.040593,0.003065,0.009157,-1.127316,0.936822,1.200404,0.04177,-0.038333,-0.013497,0.00965,69.53051,1.638742,290.4619,357.9959,-0.764181,1.451929,0.579845,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T026.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T026.csv
Pilot_Kitchen_cube,13,4,27,1,27,523.372,538.4988,8,K01,K01_L13,cube,0,0,0,0,Cutting Board,525.6819,2.374889,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,526.1929,527.5256,529.536,537.4771,-1.418901,0.894079,1.189473,4.591289,356.8831,355.694,0.020171,0.018658,0.002255,-0.007327,-1.41537,0.943778,1.193662,0.042924,0.021517,0.036974,-0.003524,93.34395,-268.3727,296.793,55.61893,-0.772864,1.474445,0.356061,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T027.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T027.csv
Pilot_Kitchen_cube,13,4,28,1,28,539.5096,556.3584,1,K01,K01_L05,cube,0,0,0,180,Plant,545.1519,184.1845,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,545.6626,547.5064,549.5166,555.3365,0.733721,0.015424,-1.504164,359.8666,358.8195,0.626745,0.029599,-0.007228,0.004427,-0.028359,0.733177,0.065421,-1.504292,0.431839,0.043578,-0.429517,0.010057,117.65,2.859467,242.3029,-355.6851,0.491284,1.377722,-1.135022,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T028.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T028.csv
Pilot_Kitchen_cube,13,4,29,1,29,557.369,577.5941,7,K01,K01_L15,cube,0,0,0,270,Water Bottle,562.4336,270.2021,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,562.9446,566.2542,568.2646,576.5724,-1.416141,0.885916,-1.192992,359.6691,0.155415,4.101754,0.045767,-0.024089,0.002819,0.038812,-1.419718,0.935787,-1.193271,0.06424,-0.018873,-0.048681,0.037426,160.9653,359.1526,-199.0489,-354.4315,-0.625467,1.420591,-0.658063,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T029.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T029.csv
Pilot_Kitchen_cube,13,4,30,1,30,578.6049,595.6534,1,K01,K01_L05,cube,0,0,0,180,Plant,583.2031,177.9174,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,583.7139,585.0913,587.1013,594.6318,0.736385,0.017076,-1.484687,357.1947,2.858726,2.568922,0.011691,-0.004564,0.006079,-0.008882,0.734025,0.066966,-1.487017,0.431139,0.044426,-0.427972,0.027331,113.4532,0.187592,-113.6579,-353.7429,0.390737,1.404616,-0.874283,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T030.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T030.csv
