experiment	ppid	session_num	trial_num	block_num	trial_num_in_block	start_time	end_time	trial_no	scene	target	response_mode	shift_x	shift_y	shift_z	view_rotation	preview_label	t_starting_pos	standing_y_rotation	target_label	target_pos_x	target_pos_y	target_pos_z	target_euler_x	target_euler_y	target_euler_z	target_bbox_center_x	target_bbox_center_y	target_bbox_center_z	target_bbox_size_x	target_bbox_size_y	target_bbox_size_z	t_scene_preview_start	t_scene_preview_end	t_response_start	t_response_end	response_pos_x_pivot	response_pos_y_pivot	response_pos_z_pivot	response_euler_x	response_euler_y	response_euler_z	tar_error_pos	tar_error_pos_x	tar_error_pos_y	tar_error_pos_z	tar_error_angle	tar_error_euler_x	tar_error_euler_y	tar_error_euler_z	standing_pos_x	standing_pos_y	standing_pos_z	VR_move_location_0	Eye_gaze_location_0	trial_valid	invalid_reason	response_bbox_center_x	response_bbox_center_y	response_bbox_center_z	tar_error_bbox	tar_error_bbox_x	tar_error_bbox_y	tar_error_bbox_z	response_duration	tar_error_surf	trial_status	drop_count	last_drop_time	last_drop_x	last_drop_z	drop1_err_pos	drop2_err_pos	drop3_err_pos	drop4_err_pos	move_dist	tar_error_right_left	tar_error_away_toward
Pilot_Kitchen_laser	9	3	22	1	22	360.0224	369.4519	8	K01	K01_L13	laser	0	0	0	0	Cutting Board	361.4995	358.3199	cuttingboard	-1.437559	0.891825	1.196799	272.964	60.09008	300.075	-1.436887	0.906805	1.197186	0.245887	0.05029	0.364747	362.0105	363.4988	365.509	368.4301	-1.382442	0.886196	1.103572	0.0	0.0	0.0	0.108448	0.055117	-0.005628	-0.093227	88.54763	-272.964	-60.09008	-300.075	-0.074008	1.582896	0.113697	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T022.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T022.csv	1	valid								2.921099999999967	0.10830123368641745	valid	0.0								0.10357241577316986	0.055117	-0.093227
Pilot_Kitchen_laser	9	3	23	1	23	370.4629	384.1792	1	K01	K01_L05	laser	0	0	0	180	Plant	376.4935	179.4299	plant	0.740949	0.010997	-1.475805	357.0071	116.5166	356.3118	0.689599	0.494938	-1.514348	1.09479	0.991716	0.990528	377.0042	378.9037	380.9139	383.1576	0.747295	0.00527	-1.49332	0.0	0.0	0.0	0.01949	0.006346	-0.005727	-0.017516	116.4812	-357.0071	-116.5166	-356.3118	0.015879	1.54403	-0.245788	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T023.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T023.csv	1	valid								2.24369999999999	0.018629195930044834	valid	0.0								0.07308352525983208	-0.006346	0.017516
Pilot_Kitchen_laser	9	3	26	1	26	408.0028	419.365	9	K01	K01_L12	laser	0	0	0	0	Banana	412.6465	359.4855	banana	0.050392	0.908097	1.171279	276.2014	165.8417	147.4809	0.03991	0.907322	1.177484	0.224758	0.057988	0.228644	413.1563	414.1671	416.1774	418.3432	0.056364	0.886198	1.127997	0.0	0.0	0.0	0.048873	0.005972	-0.021899	-0.043282	104.7426	-276.2014	-165.8417	-147.4809	0.021431	1.577639	0.23639	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T026.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T026.csv	1	valid								2.165800000000047	0.04369206229969013	valid	0.0								0.030294245106763193	0.005972	-0.043282
Pilot_Kitchen_laser	9	3	27	1	27	420.3755	428.9277	5	K01	K01_L04	laser	0	0	0	0	Breadbasket	421.7418	359.3554	bunsinbasket	-1.087051	0.883797	1.18928	0.60304	67.68452	1.555164	-1.088983	0.950319	1.190754	0.301863	0.325402	0.296634	422.2526	423.1967	425.207	427.9059	-1.092961	0.886198	1.176405	0.0	0.0	0.0	0.014368	-0.005909	0.002401	-0.012874	67.69444	-0.60304	-67.68452	-1.555164	-0.041357	1.58737	0.203143	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T027.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T027.csv	1	valid								2.6988999999999805	0.014166641274487054	valid	0.0								0.06037097667215305	-0.005909	-0.012874
Pilot_Kitchen_laser	9	3	28	1	28	429.9384	438.335	5	K01	K01_L04	laser	0	0	0	0	Breadbasket	431.3712	356.6469	bunsinbasket	-1.087051	0.883797	1.18928	0.60304	67.68452	1.555164	-1.088983	0.950319	1.190754	0.301863	0.325402	0.296634	431.882	433.0816	435.092	437.3136	-1.097289	0.886198	1.164571	0.0	0.0	0.0	0.026853	-0.010238	0.002401	-0.024709	67.69444	-0.60304	-67.68452	-1.555164	-0.040741	1.580836	0.231245	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T028.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T028.csv	1	valid								2.2216000000000236	0.026746052512473556	valid	0.0								0.05202864550896948	-0.010238	-0.024709
Pilot_Kitchen_laser	9	3	31	1	31	459.0266	470.8219	9	K01	K01_L12	laser	0	0	0	0	Banana	462.603	356.7003	banana	0.050392	0.908097	1.171279	276.2014	165.8417	147.4809	0.03991	0.907322	1.177484	0.224758	0.057988	0.228644	463.1138	465.1797	467.1902	469.8001	0.06341	0.886198	1.172888	0.0	0.0	0.0	0.025527	0.013018	-0.021899	0.001608	104.7426	-276.2014	-165.8417	-147.4809	0.048056	1.542869	0.238927	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T031.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T031.csv	1	valid								2.609899999999982	0.013117057787476571	valid	0.0								0.018766149514981414	0.013018	0.001608
Pilot_Kitchen_laser	9	3	32	1	32	471.8326	483.1725	3	K01	K01_L16	laser	0	0	0	90	Flowers	475.8864	89.022	flowers	1.069949	0.867997	0.834195	0.462501	110.9224	358.712	1.072386	1.089711	0.836063	0.476981	0.447812	0.470179	476.3974	477.3528	479.3629	482.1617	1.047823	0.891871	0.807534	0.0	0.0	0.0	0.042075	-0.022126	0.023874	-0.026661	110.9332	-0.462501	-110.9224	-358.712	0.228191	1.570023	0.040571	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T032.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T032.csv	1	valid								2.7987999999999715	0.03464633886863093	valid	0.0								0.05178400435129769	0.026661	-0.022126
Pilot_Kitchen_laser	9	3	33	1	33	484.1831	495.2342	1	K01	K01_L05	laser	0	0	0	180	Plant	488.2148	180.2008	plant	0.740949	0.010997	-1.475805	357.0071	116.5166	356.3118	0.689599	0.494938	-1.514348	1.09479	0.991716	0.990528	488.7257	489.9364	491.9467	494.2124	0.75873	0.00527	-1.487162	0.0	0.0	0.0	0.021862	0.017781	-0.005727	-0.011357	116.4812	-357.0071	-116.5166	-356.3118	0.03913	1.541696	-0.298015	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T033.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T033.csv	1	valid								2.265699999999981	0.021098469375762853	valid	0.0								0.09916831637856147	-0.017781	0.011357
Pilot_Kitchen_laser	9	3	34	1	34	496.2449	509.384	9	K01	K01_L12	laser	0	0	0	0	Banana	501.0541	358.4332	banana	0.050392	0.908097	1.171279	276.2014	165.8417	147.4809	0.03991	0.907322	1.177484	0.224758	0.057988	0.228644	501.5659	503.8308	505.841	508.3623	0.060404	0.886198	1.189226	0.0	0.0	0.0	0.030031	0.010011	-0.021899	0.017946	104.7426	-276.2014	-165.8417	-147.4809	0.021219	1.583262	0.188827	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T034.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T034.csv	1	valid								2.5212999999999965	0.02055078959553617	valid	0.0								0.03378493141640212	0.010011	0.017946
Pilot_Kitchen_laser	9	3	35	1	35	510.3947	518.5247	9	K01	K01_L12	laser	0	0	0	0	Banana	511.7719	359.6811	banana	0.050392	0.908097	1.171279	276.2014	165.8417	147.4809	0.03991	0.907322	1.177484	0.224758	0.057988	0.228644	512.2828	513.2825	515.2928	517.5031	0.054952	0.886198	1.165802	0.0	0.0	0.0	0.02303	0.00456	-0.021899	-0.005477	104.7426	-276.2014	-165.8417	-147.4809	0.021832	1.580671	0.143132	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T035.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T035.csv	1	valid								2.210299999999961	0.007126789529654956	valid	0.0								0.023217621710566096	0.00456	-0.005477
